article_id,collected_at,published_at,source,title,url,summary,classified,category,event_tags,signal_type,sector,woomi_relevance,claude_rationale,access_limited,korean_summary
2bcbd5a3a0c7,2026-09-04 13:02:32,2025-07-16 07:00:00,Player — Blue Vista Capital Management,"PeakMade, Blue Vista Break Ground on Kansas City-Area BTR - Multifamily Housing News",https://news.google.com/rss/articles/CBMilAFBVV95cUxNYU5xX21nWkl0QzFZcnFRcXZWQzBoVTRscUd2ZkNjNG02bDhuR3pNWmtiMUplMGl5emVtNlVacmFrQjB2ZzFOc0d1LWVsampKRTRfSEdaQ2lCc2VUTURaaUtsMlNBY1ZGTkE0LVZvWmlOVWZKUnhmcWR0cHpqOHFtVXRpRHV0QV82aXl6cFlSY3V1VWpP?oc=5,"PeakMade, Blue Vista Break Ground on Kansas City-Area BTR    Multifamily Housing News",False,,,,Student Housing,,,False,
eed6640b0c29,2026-09-04 13:02:32,2025-07-21 07:00:00,Player — Blue Vista Capital Management,"PeakMade, Blue Vista Break Ground on 214-Unit Build-to-Rent Community in Olathe, Kansas - REBusinessOnline",https://news.google.com/rss/articles/CBMitgFBVV95cUxNdTJEdFhGSXltWUg5Y2hFWlhaaVcyX1hlYXhDbUhpS0lIUmhhcl9nRl95STQxZGU4d0l2U1ppRmZDc3hGZ0c1RDNLRUxuTGZpY1hzUC1TS3NxYVg4bFN6bUtRS2lEalVtQXg2Y3hIVU1yQkRtNXVTS1pWNks1ZjJnd3RjY3FqZ2tJMHByUHRTTWRPZkItSHZhTmk4ZzNBcmFVMUxhM3QzX3kzTW9vVDdmQVBndHBHUQ?oc=5,"PeakMade, Blue Vista Break Ground on 214-Unit Build-to-Rent Community in Olathe, Kansas    REBusinessOnline",False,,,,Student Housing,,,False,
5a12a944b04a,2026-09-05 21:03:51,2025-07-01 07:00:00,Player — The Dinerstein Companies,Developers plan 250 built-to-rent homes in Pasco after land deal - bizjournals.com,https://news.google.com/rss/articles/CBMikwFBVV95cUxOcXMxV2NEWjExeEVySl9mOXNUZVpvLVZKcmlrX3daQ211NGhCMjVRUUNxU3NuMm5tZWZFYm1LS24yOEpnaDRSWlpqZ3lGTGd2M05Ja3MzME5kd3pJMjdGZGFBRkZpNHA1UDR0bGRVQzZoRXlVMlUxb3B3dTdha2lNVHVackthOEFvRTJwVUNNQlptRVE?oc=5,Developers plan 250 built-to-rent homes in Pasco after land deal    bizjournals.com,False,,,,Student Housing,,,False,
1a3ef156fded,2026-09-07 13:38:32,2025-07-24 07:00:00,Player — Album (Greystar),"Album Union Village, new active adult community, opens in Henderson | Housing | Business - Las Vegas Review-Journal",https://news.google.com/rss/articles/CBMiowFBVV95cUxPc185WnJxU29SNVl6YXZpSFVaanAtOEZpWnljVWtVdHNmZFlJRklocmtuYnp4dmFWSlZSWHhBejhjNGlNMnFWS1ZGeEZJQWhhdEQ1dk9HX0FVMkd1VVh5b1RmWEpTdmdTTjcyMDNmbWpTMzhVLVo4RlRDN0U5bk1ZblY1SEF0VlFyTFlmZUZUaHRad2luWHc2Rms4UVRVWFVrU2Nn?oc=5,"Album Union Village, new active adult community, opens in Henderson | Housing | Business    Las Vegas Review-Journal",False,,,,Active Adult,,,False,
b68d60b15652,2026-09-07 13:38:32,2025-07-09 07:00:00,Player — Album (Greystar),Active seniors find a home at Album Marana - Tucson Local Media,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQcXBDbWdtNGNpcVlIVTVUbHVEM1M2TTFqYVdBUUpOdDk2aG05TjVEbVhCNDNfbExSbHdyeUpmMUN6ak9rcTVFelc5Z1JHeHJhaXZKS3JSMnpyOHVtX3ZQd19rYmduelpCR25FYTdZOWlrT2p0TWFzVEZNSGZnLUxjcjZRSkdnbzVkRDBEem85MllWSG9QeTR3LVFBODFWU2h0bkxxZk9wZnRlcGd3N3N3YTlQWDhQYU40QWw3MjUtajZCTE9nQWNzS2R5cUt5M3NPY3pMblJQb3FxWlE?oc=5,Active seniors find a home at Album Marana    Tucson Local Media,False,,,,Active Adult,,,False,
ff6948960aff,2026-09-07 13:38:37,2025-07-22 07:00:00,Player — Mera (Sparrow),Clash Over Clarendon Hills Downtown Plaza - Patch,https://news.google.com/rss/articles/CBMifkFVX3lxTE1pS3Yydm9iVXRDdnEwTXB1LVJUbml1cnlkdU9EUWJ4UEJwOGVIcW1pRXVzRWR1bGpZbW4yZGl4emoxV21rcEFKRlQyb1dlYnlxUDJ1SWNxYlhlYkUyUC1BMkY3T2ZDNmxNM1h0R2RXVzVxQmJQZjRsRnJZVUxrQQ?oc=5,Clash Over Clarendon Hills Downtown Plaza    Patch,False,,,,Active Adult,,,False,
275f08391669,2026-09-07 13:38:41,2025-07-18 07:00:00,Player — Greystar (Active Adult),"Greystar to Develop Active Adult Project in Annapolis, Maryland - Seniors Housing Business",https://news.google.com/rss/articles/CBMinwFBVV95cUxNY0R1WFhTTzFMTnZ2QktKZ3Z5ZXJLU21GT3Q1bjlEUVcxMVZOTnF2UERxLWM3MndFS3B3Z09wSFpjdVRDMkxvbjNXX1FqcjVzTUVXRDRjRGZUcTdnMG9pS2dNdW1xdEUtYVk2SmtwcE1NeWd5bGZ3Wi00aENNQWxqMDk5N1lManZoMU1XWEN4cTBBQ2RuRTE0ZF82MEhmVHc?oc=5,"Greystar to Develop Active Adult Project in Annapolis, Maryland    Seniors Housing Business",False,,,,Active Adult,,,False,
d7674d0834b2,2026-09-07 13:38:41,2025-07-18 07:00:00,Player — Greystar (Active Adult),Apartments Under Construction At Growing Shopping Hub - Patch,https://news.google.com/rss/articles/CBMikgFBVV95cUxPZWtRMVlpei1nR2Z5TUlMQ3V1WWt2XzA1Z3IyLUcyeTExMnlNdjdya2hpYmQwS0RNUmU4aUhFZzFCUHVrb3RkdGwzU3ZESWtmY1BKWWZWRFVDYWZEcHoyZGRxQzFSQWVtaXJhZGtpOUYwNEJEaXMxcTdiY1BvZS04TnEtN1Ywb1hWaVYxMTh5QmNfZw?oc=5,Apartments Under Construction At Growing Shopping Hub    Patch,False,,,,Active Adult,,,False,
f2b3b98b394f,2026-09-07 13:38:49,2025-07-09 07:00:00,Player — Active Adult — 55+,How to Know If a 55+ Community is Right For You - AARP,https://news.google.com/rss/articles/CBMid0FVX3lxTE8xdTh2Yk1ZQ2tqZzBuNldNeVJKVXFDRUdQaFBVWEZabXRpTERZZGg3bF9aTDhpWTFMRXFFcGFvazlfcTlxeGZvNHJEeXNmbGg2R1pkajdwbXhveDY2QzFHVU10TldNWHQ5SzNWMVYtTHpmNV9hTXpN?oc=5,How to Know If a 55+ Community is Right For You    AARP,False,,,,Active Adult,,,False,
37cc19c65b5a,2026-09-07 13:38:49,2025-07-22 07:00:00,Player — Active Adult — 55+,New life for century-old tower as 55+ housing breaks ground downtown - fox43.com,https://news.google.com/rss/articles/CBMi9AFBVV95cUxNN202cTBLcXVueU9xODFZNzFXbVZNbTJ3SnpBaVJ1eVk2cTlIWGh3R285dGdGZWlXMEVkTUY1aW5ZU1BhelFvSWw2Mk8wQlJFQm5HMGU1YTByaU05Y0RHVXYyYXZJYXdMTTlFbnJmb3lsb3VfUDZ2R2J4TEtjcTFETkMydlFRVl9mX3gzTzg1Wkg5RXlfd1dMTEhSTlFGV19aamdZLXdnbEd6OC0wUTFQME9XVnNmN0lFRnVHS3FmUVdxMTM4U3FHaGh1LWpnQjBzX2ZIT2dMZnZxSU1PX2FMbWNjVXVzdU4zVmRjUUpZRldYOEZk?oc=5,New life for century-old tower as 55+ housing breaks ground downtown    fox43.com,False,,,,Active Adult,,,False,
