article_id,collected_at,published_at,source,title,url,summary,classified,category,event_tags,signal_type,sector,woomi_relevance,claude_rationale,access_limited,korean_summary
d06dd975b992,2026-09-04 13:02:35,2024-10-18 07:00:00,Player — The Dinerstein Companies,Developer closes on UCF-adjacent land with student housing approvals - GrowthSpotter,https://news.google.com/rss/articles/CBMirwFBVV95cUxQczZyS2lNdDRsUXA1a3VNS0s4T1N1YnQ1bUdLUEVudnZNRlpYck1RQWhKbVJPS3cxUUtqTUp1T01YdGxIcWc1ZzQxRFFRajdWczg3cndtbXN4dEw1dDM2SFd0MTZ2MTdJaHgzYVAtSE45SmpwU0J1aExKSTFyZW9mTC1uQ2FQcVY5ZG1JRUFJSXU0VzJTMTBxSXBMN28wWlNRODV0aXlwaDZUMU9lelUw?oc=5,Developer closes on UCF-adjacent land with student housing approvals    GrowthSpotter,False,,,,Student Housing,,,False,
c49fb2ae86a7,2026-09-07 23:16:33,2024-10-31 07:00:00,Player — The Dinerstein Companies,California developer’s apartments/condos OK’d - scottsdale.org,https://news.google.com/rss/articles/CBMizAFBVV95cUxOQXUzVGlTeEtKZDFodHczbGVOaldrOUF1dENpbXJJRkNIVGNUNzNvejhMSkxCVjJ2Y1VzRUpzZTV0cGhhYVpYcy1xZDBZYUpIX1dPSS1VVHhId2RTNEtGaVgxZ1Z3RUs0MGQwWm12X0N2Y3V1eFBZS1NlaEplM3g3QmxuQkRvZmJnODg0OVZ2dmktZjYxbmFYalc4RXNZMXlES0h3ZEVuSTV3MmpveXBrSk5VSl9tQy1wMzg4UDFuY19EZDd0eTdDZVgzQS0?oc=5,California developer’s apartments/condos OK’d    scottsdale.org,False,,,,Student Housing,,,False,
edb386c67ace,2026-09-10 22:58:10,2024-10-15 07:00:00,Player — Active Adult — 55+,Affordable housing project for those aged 55+ opens in Reno - KOLO | 8 News Now,https://news.google.com/rss/articles/CBMijwFBVV95cUxPX2NjLXg2TzV2eXNvQ1F3ZDZwbkZCU0Y2bGdQMkRlNWtMbU01RHJKSVRmbDc2bk9yUGZZWnZPMkJzbVBTcUdFU2ZHVlRwOU1CM2lfemNsOGZZNG5fa3BNaFVxaUpJamllajkwSmZpcHNTUkNCZXRPZjRMZ3JuRmJ4RlZQbWZJVmFKZ0pEZVRjTdIBowFBVV95cUxPbGFSRFMxUkVZbVBlTnM2d3N6dEVUcDVkdXFidmZzVTVoanNlMWpNem5PcERuT2NMdUNnZ3g0MHlrS1RlZGlUQ2ZnaGExTTN1emVydGFLa04wZGtRaTg0blhldFc2ZGhFa1hUZ3lMbzl0NW5QRDVQMHJpRTc0WEh1U2pvYmZjOUdlQUh1VDRqSUZ2X0lxOUFFZVloVmFfaTBZQmtz?oc=5,Affordable housing project for those aged 55+ opens in Reno    KOLO | 8 News Now,False,,,,Active Adult,,,False,
