article_id,collected_at,published_at,source,title,url,summary,classified,category,event_tags,signal_type,sector,woomi_relevance,claude_rationale,access_limited,korean_summary
ee57638b9288,2026-09-04 13:02:32,2025-04-01 07:00:00,Player — Blue Vista Capital Management,"PeakMade Real Estate, Blue Vista Capital, and W5 Group Break Ground on Theory Ithaca, An Apartment Community Near Cornell University - PR Newswire",https://news.google.com/rss/articles/CBMikwJBVV95cUxOVTZraHJQUm1URGRwcHVQMzhOVHkxX1U1QUpiaDA0dEZ3R2VjZnRfVEl4QXhsWnVyVllvMktyazNiak9iMEItTy1vVDhybzNTY3BydThPdzFQcEJIR0dXaTduZ09tYkVvV1A3V1lLSG1kbWJsdDJuenprWUxrbGx5dC0tdy1KcmotbFZwRWdhajA1UDhYMDk0V3p0cTM4bXJ5bUVTeXh2TllmYk1aTkg5cGM3Mm9uZ2F5MkY1X0ZzWlJXcTFaMXoycUI0Q09fTzBLdHhMWGdPcE12ZFlRQ3ZDbU1GcW9vQ3IyeTdoYVVaYmdRTTQ2UEZWdjBpX2pIUjdmUnRNS1g5VkRyb1kwQjhkbVZ0WQ?oc=5,"PeakMade Real Estate, Blue Vista Capital, and W5 Group Break Ground on Theory Ithaca, An Apartment Community Near Cornell University    PR Newswire",False,,,,Student Housing,,,False,
aab2baebf301,2026-09-04 13:02:32,2025-04-07 07:00:00,Player — Blue Vista Capital Management,Boston Mixed-Income Community Obtains $212M Refi - Multifamily Housing News,https://news.google.com/rss/articles/CBMid0FVX3lxTE54Y0ZKQ1c4Yk1BbFpSQlR6RDQzY1lrWFBIdFd2MTZpWHdZQ1pQRHJZTW42MEt0bXdibEVUV29POFA5ZXV4MmVDTjJsdG1zU1dZeno5bWdWYnFWcEctb0N4bGY5S1lqMTl3dzJ1VE9Qd0NBYWxNLWhn?oc=5,Boston Mixed-Income Community Obtains $212M Refi    Multifamily Housing News,False,,,,Student Housing,,,False,
d5f65f15310a,2026-09-04 13:02:32,2025-04-02 07:00:00,Player — Blue Vista Capital Management,Theory Ithaca residential construction begins near Cornell University in New York - World Construction Network,https://news.google.com/rss/articles/CBMiigFBVV95cUxOajg5eXF5anpSOE1EaDVja21iMjkyUFhfUVotSkR2azBNaEFTaE9uWU81RDRxTzRVa2NiMG55YUZUVFlCM09oUVhfS1lrTmFtSDQwVTdzZ0R2TVJNX0g3T1YySUs5WlI2cFpfclhnX3c2NU1VWnF1bGdQajBRSnZhLVg0NVJIVVdZeWc?oc=5,Theory Ithaca residential construction begins near Cornell University in New York    World Construction Network,False,,,,Student Housing,,,False,
65a99434ad44,2026-09-04 13:02:35,2025-04-01 07:00:00,Player — The Dinerstein Companies,Denver University Hills apartment property is acquired for $101M - The Business Journals,https://news.google.com/rss/articles/CBMiowFBVV95cUxQQWVjUXFNYWZGRXIwZlZRX08wUHBHRk5GR25kYTR5NUtFNWlGSk5vMm16bFJETjRRa1dUOFlUUGFnOGNwdmhTMFRwanRfMHFsNFkxWFJoRHBTU3phLXFLcEpyYVZvQ3BIOXVUVWs1djVQRy1WaFR1aHlCYzdDbjFXblIxOU84R0JBMGhGRTFPUXRrNVpLclhGQ0t3Mi1SYV9OYlZN?oc=5,Denver University Hills apartment property is acquired for $101M    The Business Journals,False,,,,Student Housing,,,False,
f0c4e613ffc3,2026-09-07 13:38:33,2025-04-11 07:00:00,Player — Album (Greystar),What’s being built near Surprise Stadium? - azcentral.com,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNVDlsYzZ4c3dyUGh3Q2hyMjZsVUVncElpMEstRl9manFjZGs0TXlsd3VvLXNpZHQ5anZXUkZGcG9yWC02dnVQRWF6RFN4c3dZZU1Dalp2SU9TQWdSQ1V6bDVEZXJNbzhoemdEX0piUm90Z1lYVkcxTXdxeTUyZ1AtejZWVkZLRFhhNURuU2E5anBGMGlyaDlMdlZ1N09icVA1TWtuRFRGeGItR21iNUM2SHNlRHVUR3p4Mm1QNm14bGRZY3B5VmtkN1A4YVNzRjdXYWNSU3Iyaw?oc=5,What’s being built near Surprise Stadium?    azcentral.com,False,,,,Active Adult,,,False,
141b28a976ef,2026-09-07 13:38:49,2025-04-22 07:00:00,Player — Active Adult — 55+,New 55+ housing development poses concern for aging sewer infrastructure - Dartmouth Week,https://news.google.com/rss/articles/CBMitwFBVV95cUxOaUF3XzBjQ21taTJhSlZnNVZ4MmpaVkhZNWFCTV9iVlRDY1lCeWlPUXFndEZnS1hCOXotM29yYVF3YzE0VDM5ZUVSZzN0S190M2NrOEdWaFpWQmJTNjZ2SkNXbVZCVG41Y0ctTmVPNnM4WHozRlJDUjY4Mzg3Qk9VZ05nVVVfSGVGaHY3ZDVGNTZta1loRnE4ejk5VzdVUnE0UG9QU18xZWMtZnVQMGRTdm1BRVZsUDA?oc=5,New 55+ housing development poses concern for aging sewer infrastructure    Dartmouth Week,False,,,,Active Adult,,,False,
9c015ed236a4,2026-09-07 23:17:18,2025-04-17 07:00:00,Player — Active Adult — development,In the Pipeline: Avenue Opens Active Adult Community; Avendelle Partners with AWK Development - Senior Housing News,https://news.google.com/rss/articles/CBMizgFBVV95cUxQVEdjSGR5V0hWWnNTVG5hWmJoSkhNcGdzQlpLTW1zV2tZd1NDVUtFaE9MQTltN1k4M1JGMW10cjBkV25qUVE4WExJTTV5aV9KNnZwM3BuSjAtOV9DWkNMNERNNHRrekpuejFZbUtZaUdCLUxWekxLSi1RM0hNdlp4TzRxNnNtWE1Pa3VhLTh6cXNRb2VUSzFidmthWnpiY0NjaGtsd2I3NkQ2ZGk5SFNKc21PZnhubURmM3o1cjFjTktUOG5qQzJsc3BhcFVKQQ?oc=5,In the Pipeline: Avenue Opens Active Adult Community; Avendelle Partners with AWK Development    Senior Housing News,False,,,,Active Adult,,,False,
e3ce29bc1464,2026-09-07 23:17:19,2025-04-02 07:00:00,Player — Active Adult — 55+,"At Harbor Heights 55+ Apartments in Olympia, a Bustling Downtown Lifestyle and Active Adult Community Awaits - ThurstonTalk",https://news.google.com/rss/articles/CBMi4AFBVV95cUxNMUN3azdzbDIyWE5ZUDV2dHBIRnhfOTdJazh3alVZa2wxN2Z3dlNrYTcxYXNndHR3ZjBibGFaZHFMVHVpa2JDcFphZnlfTU9QWS1nbGhvLUJWNEVHTml5WElFNHcwNXhCOWY3N3BMZ1lLMk9BdV9FUjdHVk9BVXhudTc3OU5OV1ZqRm1hUHF1QjZqZ3N1WTJYeGluSHB2bGVxV0ltT256eUp0QlNabjd3SUJtN1BlQ1JpaFVvVTV5Wks0Wk9JZFg1a09tQm9nV0xKMXVBdlQwcFZnaUg1Y05FRQ?oc=5,"At Harbor Heights 55+ Apartments in Olympia, a Bustling Downtown Lifestyle and Active Adult Community Awaits    ThurstonTalk",False,,,,Active Adult,,,False,
