article_id,collected_at,published_at,source,title,url,summary,classified,category,event_tags,signal_type,sector,woomi_relevance,claude_rationale,access_limited,korean_summary
95a08884560f,2026-09-04 13:02:32,2025-11-19 08:00:00,Player — Blue Vista Capital Management,"Blue Vista Capital Management Partners With UBS, Extra Space to Create $600M Self-Storage Platform - Inside Self-Storage",https://news.google.com/rss/articles/CBMi-AFBVV95cUxQajl0OUJsUG5MVkpjT3dqeUg0RTl1QzVUUTJPMDZkc1FVb0lLRTNyd3BpZmRBZTRwdWUxWFZ5OERTZ0Q4M1p2aE0zaXVKQkRhUWp6ODFJbU82SDJ0SVlVZFlBSkhxZE56TDMxV1RjOU5HTTdmWGxDRmpRSTdvbHV0azRiM3drT1RhSFVyaFd0ajB3endDTmNuNUZNb3R5eXJ4Vnl4Y3M4VUdYM3pxOXA1Smt0OXYtQmlJcm9tMVVLSkdteEszVmMyWXc5U1pORDNnaWZYdWZleEs2SWlzbGZac0E3Q29jUFJZaW5oc0lUQ0xfUjFvcEdNWQ?oc=5,"Blue Vista Capital Management Partners With UBS, Extra Space to Create $600M Self-Storage Platform    Inside Self-Storage",False,,,,Student Housing,,,False,
52c5bbffb92e,2026-09-04 13:02:32,2025-11-19 08:00:00,Player — Blue Vista Capital Management,News | Blue Vista Capital launches $600 million venture to buy self-storage properties - CoStar,https://news.google.com/rss/articles/CBMivAFBVV95cUxOUEExcmZCOTdXMHd0dEFYOURUczIxb2huUWctV1BrdDBnX1J5RUlWdWx4bXB4aktYMTJVVG1UalZxeURCVzJYbDBvSmM3Vl95cDVaQlVUaVhoNG5jbTF2NGJ5V2JtMWhVNkRUT2RaVmNpWmJBWkZraUthcHUySkJRVHVVVjJvSDhJcEc1ZjdmOHRhZUJWNDYyVWFCN2trNnA3M3JLaXp4UWVfSDh3MUJNWkRsU1ROMHdLaWhOVA?oc=5,News | Blue Vista Capital launches $600 million venture to buy self-storage properties    CoStar,False,,,,Student Housing,,,False,
cda153148e4f,2026-09-04 13:02:32,2025-11-18 08:00:00,Player — Blue Vista Capital Management,"Blue Vista, UBS and Extra Space form US self-storage venture - pei-privaterealestate.com",https://news.google.com/rss/articles/CBMiqAFBVV95cUxOREhLM0w0blVPeTlYbzdxaFVqbU5ZUXhvUDNfb1lob3VRdGhmQXBkYU5GMTB4WkRfbGJEZkdPQWY2WHRxbzhUR1FkMmRvaC1qdEdaVHRFU05RM1FqSzVzV3NuWjRMdUYwa0UzRlZodGduZmc0UGFZM1lBOUNqUnd6cU43dmpYWEFhQi1BMVA2U1g0UTU4Y2ZxNmpmX2ZxbkdjQkVfSzJhUGc?oc=5,"Blue Vista, UBS and Extra Space form US self-storage venture    pei-privaterealestate.com",False,,,,Student Housing,,,False,
8986a7618b58,2026-09-04 13:02:38,2025-11-12 08:00:00,Player — Landmark Properties,"Landmark Properties, Abu Dhabi Investment Authority sell 8 properties worth over $1B - Multifamily Dive",https://news.google.com/rss/articles/CBMimwFBVV95cUxOaEEzWVJJTkoybFlYamxKYmNVeHV0b3VsZVFJa1NUUm8taHVVTnJOWnFZR1ZXS3ZRTkNmWEItRmtLRy0wSmNHa1dvd0laNUhVY1NYX1J2MDZiRHUzM25Ic0w1N19YTm8xcVdkNmN6ZEZQRDZ6bVpGYy04SnlZdEhjNHI5aS1OWHFFQkhaRU5GVEpWUENNZHhrQUFsaw?oc=5,"Landmark Properties, Abu Dhabi Investment Authority sell 8 properties worth over $1B    Multifamily Dive",False,,,,Student Housing,,,False,
de8cbc7cc39e,2026-09-04 13:02:38,2025-11-05 08:00:00,Player — Landmark Properties,HP and LP Announce Charleston Student Housing Development - Landmark Properties,https://news.google.com/rss/articles/CBMi5gFBVV95cUxPWnEwWnRubzlEOWRHa05IRzdqVFJqWWhpQnZDb0FfZWRhNXRHX2dsRFR2Z1RyV2tGR19JV0NvY3MzWGhGQTBvcF9jams5QURvbXozNThOWHZOeE1rS1pTNjhqalNQeGhwekF5WW14anVvbGU5UGhHWVhybzNGUVl4UHY4S2MyYjd6dGNCYnEySmdHSUFzbTB5TjNwN2xJTnhDa2Y1eWRQeVVubEttdUhfa1pSMWFpSUlWVVNGcDVVVGdSTzZxZDhsMlM4OXN0SVVYMnhjbmJKckgtV1lQRklaUkUxel9SUQ?oc=5,HP and LP Announce Charleston Student Housing Development    Landmark Properties,False,,,,Student Housing,,,False,
bfcf571f4ceb,2026-09-04 13:02:47,2025-11-18 08:00:00,Player — Campus Apartments,Two LSU on-campus apartments are changing to freshman housing next year. Here’s who it affects - lsureveille.com,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQaDZwZExUOU1tMU45Z25saVZremx6WUJsVmxrNGFFd0FmVTNxT2ZhNDgxRDJzYl83QkVVSlRiZmtSQTRwYmR4Y0YyeGpMNV9MNndMSEpnVVBWb1FzZ1BzX285bktBVVRoY3RpNTJMR0pnb0dpYS0yeHUweTNXVHVQaXROZnhzZkNJMHRlbTczYlR2M3pEVmFmSnFnUmZJckZERUVqcmprdTMtTW5Fb1ZrWVN5NmpkYWptRGxSVnlmMjBnejQ?oc=5,Two LSU on-campus apartments are changing to freshman housing next year. Here’s who it affects    lsureveille.com,False,,,,Student Housing,,,False,
8af9b00c40f9,2026-09-04 13:02:47,2025-11-21 08:00:00,Player — Campus Apartments,"Students, faculty raise issue with lack of professional cleaning services in on-campus houses - The Tufts Daily",https://news.google.com/rss/articles/CBMi0AFBVV95cUxQMUNwQ2RCTi1lTElwb0FHbXZjOEswS2V6RFBfd0tMTzg4X1hadVY0ZGlUeXltWXR2UGpDZkxGWmRaVU8xbnZKc3FTck9fTHBjdjdpNTh6N3lTdThyQ2huSk1oZC1XeEVlV2Q2NGthYXU2Z2VtbTdZMEFoTFZqSWxJQTVtTV9URkQ1bzNGendqVzhYcC1JN0RNbmdwOW5LTUZUal93azZwOXcweFdnVlU3VWlwektxTTY0d1R4eXJQV0g1WUFjc3pBWEFDN2l0MnlX?oc=5,"Students, faculty raise issue with lack of professional cleaning services in on-campus houses    The Tufts Daily",False,,,,Student Housing,,,False,
33f4e5c5e7be,2026-09-04 13:02:51,2025-11-24 08:00:00,Player — Subtext,Top 5 Southern Universities for Student Housing Development - Multifamily Housing News,https://news.google.com/rss/articles/CBMimgFBVV95cUxPeERYWmozQk0yZ1B4QUJUY3JVdm1WUE1QX3NLcGllNHUtSWppeFNDdnNUQWtLY2JSUm5yM2ZIUFpxUjZWQUEycHdvTGoyXy01SGhQRFl0MEZUYUZfbldObXFBQnhFcTlIS2I0MjlZM0tXUWdNUVNlbzNLZUx2V3J1NHpxOUp4dFNxNWo4NVkwVlZBaUI3MXRCSVZ3?oc=5,Top 5 Southern Universities for Student Housing Development    Multifamily Housing News,False,,,,Student Housing,,,False,
5ee5e88bc80a,2026-09-04 13:02:52,2025-11-28 08:00:00,Player — LV Collective,LV Collective and Kayne Anderson Real Estate Acquire The Heights at College Station in Texas - Yield PRO,https://news.google.com/rss/articles/CBMibEFVX3lxTE9zTXZQVTVJVHQ4YjI2T056c25hSG9fR2M0ZXhLd3dJSzRWdHV3Y3BlbGtqZ0YwZGJMSndYWmo4dmxpMnlOZklVRUVaUG1KTS1aeWl3ZUlhZzZXdUFhdF91SWZKMEpBMzZ2b3VKbg?oc=5,LV Collective and Kayne Anderson Real Estate Acquire The Heights at College Station in Texas    Yield PRO,False,,,,Student Housing,,,False,
fa8887bab106,2026-09-04 13:02:52,2025-11-12 08:00:00,Player — LV Collective,City Council to consider restrictions on student housing in Charlottesville neighborhoods - C-VILLE Weekly,https://news.google.com/rss/articles/CBMirwFBVV95cUxONkZyZUg2eWhpWVA2THBURzdSQ3R5Z2NSS1RCS0VLX1FMSUo0anhwX3l3NTNXZ1cwMFY4dFhDSUYwcDNaWHFtV1Nyb0xTUFNXbVZJMlZfV2xFY3lRRHNnQS0zN05JNUxoTTBNMTR5bzZQMVJ1c0VEMjFIRmFOeGhfdWg5aUU0RVQ4cHdzaWpFeEZQUEVXdlJqS1g4MTd1Q2JCcW9mbENMbGc2UjhGd2dN?oc=5,City Council to consider restrictions on student housing in Charlottesville neighborhoods    C-VILLE Weekly,False,,,,Student Housing,,,False,
