article_id,collected_at,published_at,source,title,url,summary,classified,category,event_tags,signal_type,sector,woomi_relevance,claude_rationale,access_limited,korean_summary
dbdbc1bddd96,2026-09-04 22:44:42,2025-03-28 07:00:00,Player — Blue Vista Capital Management,Blue Vista JV Lands $104M for New York Student Project - multihousingnews.com,https://news.google.com/rss/articles/CBMikAFBVV95cUxQcHptbjlzdUkxZV9oclZNZnB2OGN6dE5iQ2J2d2NMUDhUYzZjeVc3RXc3U1FydFpuNW5Bdk4xeURMX3NpT1RxZUU4dGRwQ2RsOU5SNjFJcHpiLXdpTWtZVnk5VTU5dGo5TEp3cjU4X3ZZb3AzWVlUQjh6blN5QWM5blpIa01uUkVqSFlwYjZJR2g?oc=5,Blue Vista JV Lands $104M for New York Student Project    multihousingnews.com,False,,,,Student Housing,,,False,
5032ce71b979,2026-09-07 13:38:30,2025-03-06 08:00:00,Player — Overture (Greystar),Why this unique community in Birmingham is the perfect fit for one local family - Bham Now,https://news.google.com/rss/articles/CBMisAFBVV95cUxPM0hwUzkxbUZyckRBbHFsT25iVGdQWmNOSTNuM1Y5RGxKbE4tZTdJUW40RENDM1RtajN6RFlBemVNc2tpd3E1YUhmRXdiTldoYTUzZEFoSzJpM3JMZzktcTAwWndMbHR6WGw2cUVKS3MwOXUxZHJFTjlVR3piclBQQ0duT3ZBcHVYU0M2U1RLN1A3LWhwYkFsbHpxdUNJTlBJaGlLdC1zN1RWdVBxZndibQ?oc=5,Why this unique community in Birmingham is the perfect fit for one local family    Bham Now,False,,,,Active Adult,,,False,
03944b73e49f,2026-09-07 13:38:40,2025-03-20 07:00:00,Player — Welltower,Why Welltower’s CEO Uses South Park to Warn of Looming Senior Living Crisis - seniorhousingnews.com,https://news.google.com/rss/articles/CBMitwFBVV95cUxPNzVLdlFwZ3pDYlhab1gtZW44VWlBVk1JRnNzcG4wQV9ubTZubGowWFdpbEktbkRvZF8zb1U2LVNCcEdjcWtXbkRDNjdibWU2WlZDRDlubW9JWl9hVXRDQ0c0V1NhM0NtLWdhamdqLXlBMmh2cTBDT3pVOGR6anJHNTlwMmxlLXdTUUdIWV93RVMzaW9YUUlkck9USDBjTkRBQlN2Yll6eFNMNG0zRDZjYm52R0FFRDg?oc=5,Why Welltower’s CEO Uses South Park to Warn of Looming Senior Living Crisis    seniorhousingnews.com,False,,,,Active Adult,,,False,
b135dcdee897,2026-09-07 13:38:42,2025-03-24 07:00:00,Player — Carlyle (Active Adult),"Robert Hicks Obituary (1940 - 2025) - Winston-Salem, NC - Winston-Salem Journal - Legacy obituary",https://news.google.com/rss/articles/CBMikgFBVV95cUxQUXVaMjlmV25CSWFpeDY2VDhuOHRJc1pNYVh3QWhCVUVEcjVEd2pFOTVjcV9DZ1BqenhSREJoZG1VVGRiU0IzZmZZMXo2NmhLa0R0a3NEZk5LTU1iX1owaG00dkNIQ0tISVRVT0ZSX3ZZVU1hdXNvd3ZhaHFaZTJuVnIwZ2RBTzRfeU5jX1JXVlhWZw?oc=5,"Robert Hicks Obituary (1940 - 2025) - Winston-Salem, NC - Winston-Salem Journal    Legacy obituary",False,,,,Active Adult,,,False,
f9c0e083e036,2026-09-07 13:38:49,2025-03-12 07:00:00,Player — Active Adult — 55+,"Orange County Rejects Proposed 55+ Housing Community, Citing Rural Location - Chapelboro.com",https://news.google.com/rss/articles/CBMiugFBVV95cUxPUEpfVldDR3FsNml3SkpPd0wyenkzTHpTN3o2R3BJOHduZ2VMcW9jVWhyZm9oRHptNGxlNFpoSGNCVkJtX1hOTl9zbGZ5TTRKMlZ0ZUxNUnVLeGc0V1drRWhXc2diUVZ5Z0JsTWFZbC1ucHVkdURvNGc5MmtjN3BNUWtjRVBiRzdUdVpKY180eW12XzFHczQ2RXVyWFFfekd4aHpUZVEzZDQ2YWlaSHRkNUNpUDBFX3Y5aVE?oc=5,"Orange County Rejects Proposed 55+ Housing Community, Citing Rural Location    Chapelboro.com",False,,,,Active Adult,,,False,
739dd090e70d,2026-09-07 13:38:49,2025-03-30 07:00:00,Player — Active Adult — 55+,Everleigh 55+ Community Planned for Annapolis Town Center - Eye On Annapolis,https://news.google.com/rss/articles/CBMinAFBVV95cUxQM2o1V2RyemVvVXQwT19DMVBpNU5iOWV3MjgzNUh3aGR0SXF2Rng1RGYxSlRHQzhMLXJoc2Zud2ZmU0N0X3VSYUVqTUVVRXdtTGdCbDZhdmRiS181WEg2MzlKQ3pjVXlWM2VmNjdqUHNWSURJYjFkc3k5THA1bTNOanJFcXNCTWhod2RSVnZocURVR1Z4elQzaFNZMWU?oc=5,Everleigh 55+ Community Planned for Annapolis Town Center    Eye On Annapolis,False,,,,Active Adult,,,False,
adffaf010bf2,2026-09-07 13:38:49,2025-03-13 07:00:00,Player — Active Adult — 55+,Cooperative housing for 55+ adults coming to Ingersoll - Axios,https://news.google.com/rss/articles/CBMioAFBVV95cUxQRkd4Qkc5d2l5dk1KQVREeG9raDN2akN5MU9sMUhXV3Bjb0c3VklxREN3cnU1Rnp0bG04cG00d2c0NTI5ekkzdmttYXNBYVdBRFd5WERiRE5VWVFHUUx1eWRYUVloNWlGT2VfQ1dTU2J5eS1KbzRLTmg1R1diM0lkMG56MkVLdjRDYXAtNnhYTWdXMG1IQVM2eUpyNV85bWJZ?oc=5,Cooperative housing for 55+ adults coming to Ingersoll    Axios,False,,,,Active Adult,,,False,
